,latitude,longitude
0,37.47940512,127.0508513
1,37.51064152,127.0457168
2,37.52398545,127.0536184
3,37.52363984,127.0539145
4,37.48787617,127.0628194
5,37.51635469,127.0390774
6,37.53478559,127.0348157
7,37.50760894,127.0386721
8,37.4636503,127.1069073
9,37.46355015,127.1068111
10,37.46359611,127.1067368
11,37.52677587,127.045436
12,37.52613801,127.0464734
13,37.4821323,127.055218
14,37.48712047,127.0540179
15,37.48356667,127.0568821
16,37.48209901,127.0553773
17,37.49980711,127.046885
18,37.49948156,127.0470452
19,37.52509941,127.0527109
20,37.52322839,127.0382461
21,37.49143743,127.039703
22,37.47840143,127.0448926
23,37.50715482,127.0327169
24,37.47865213,127.0475088
25,37.47874509,127.0471258
26,37.52803623,127.0221526
27,37.5078965,127.0608457
28,37.49642098,127.0286656
29,37.50645981,127.0315822
30,37.50842455,127.0331388
31,37.49327593,127.0543152
32,37.49578331,127.032601
33,37.52890109,127.0297702
34,37.53235918,127.0297237
35,37.5163096,127.0411395
36,37.53073507,127.0300667
37,37.53241306,127.0316424
38,37.50365891,127.059991
39,37.49394643,127.0709199
40,37.53100567,127.0400484
41,37.53099267,127.0402138
42,37.48772152,127.0532852
43,37.48758333,127.0533668
44,37.51677478,127.0362636
45,37.5239324,127.0232558
46,37.50862007,127.0445089
47,37.50687426,127.03994
48,37.4901741,127.0316524
49,37.49889302,127.0585785
50,37.51011523,127.0234043
51,37.51110866,127.0229716
52,37.49855714,127.0692153
53,37.49207573,127.0689699
54,37.52900962,127.0411108
55,37.52887621,127.040981
56,37.52875196,127.0410223
57,37.49104895,127.0347023
58,37.52843751,127.030031
59,37.49206518,127.0584244
60,37.48279341,127.0469198
61,37.52099772,127.039697
62,37.50257588,127.0566396
63,37.50188399,127.0545161
64,37.50165486,127.0538091
65,37.4751237,127.0524992
66,37.49904411,127.0584602
67,37.4790512,127.0491714
68,37.47890347,127.0489326
69,37.51071674,127.0320529
70,37.52297663,127.0284812
71,37.50199653,127.0655778
72,37.49797607,127.0432894
73,37.51518469,127.0614284
74,37.48549634,127.0559931
75,37.4850941,127.0563591
76,37.48406308,127.057275
77,37.51111413,127.0437621
78,37.48890892,127.0540183
79,37.52143358,127.0485879
80,37.51647091,127.0413817
81,37.47718597,127.0488512
82,37.51002188,127.0439559
83,37.50288232,127.0471528
84,37.49887767,127.0297539
85,37.51362377,127.0424293
86,37.50302179,127.0580225
87,37.49251787,127.0834874
88,37.49225942,127.0845961
89,37.4922545,127.0844103
90,37.49808537,127.0578023
91,37.50209753,127.0559703
92,37.51996043,127.0354228
93,37.51973381,127.0348993
94,37.52234369,127.048117
95,37.50030035,127.0646652
96,37.52114254,127.0182801
97,37.49578253,127.0327523
98,37.50215593,127.0664212
99,37.4841541,127.0575353
100,37.48392085,127.0574396
101,37.5003449,127.0337256
102,37.48558735,127.0459391
103,37.49288479,127.0833493
104,37.49337212,127.0832142
105,37.49348199,127.0830563
106,37.49523742,127.0368466
107,37.51292184,127.0248684
108,37.52086076,127.0344045
109,37.48240325,127.0786515
110,37.48273231,127.0789435
111,37.48644371,127.0526695
112,37.48665924,127.052535
113,37.48715051,127.0522688
114,37.52885344,127.0299037
115,37.49389901,127.0335036
116,37.50203502,127.0589799
117,37.48740649,127.0621936
118,37.48517166,127.0583063
119,37.51039638,127.0365119
120,37.50956843,127.0372581
121,37.51054436,127.054431
122,37.52845504,127.0339615
123,37.49513212,127.0532656
124,37.48142969,127.08439
125,37.48217463,127.0840938
126,37.48271729,127.0839699
127,37.48160075,127.0841755
128,37.4813235,127.0836286
129,37.4943704,127.0825871
130,37.49450133,127.0821759
131,37.49402305,127.0812051
132,37.48811775,127.0326652
133,37.48153293,127.0792116
134,37.48157824,127.079328
135,37.49602278,127.0529997
136,37.49475738,127.0668471
137,37.49468074,127.0669456
138,37.50984079,127.0655156
139,37.51088768,127.0636397
140,37.48100886,127.0817708
141,37.48113104,127.0826222
142,37.48118841,127.0827298
143,37.49338715,127.0863869
144,37.48616347,127.0830276
145,37.51707919,127.0351288
146,37.49960193,127.0624875
147,37.51451249,127.0616681
148,37.51468086,127.0616755
149,37.48978215,127.0827467
150,37.48964751,127.0822877
151,37.51512019,127.0524251
152,37.49139889,127.0824317
153,37.49087261,127.0825076
154,37.49411617,127.077308
155,37.49637311,127.0774946
156,37.4968398,127.0755339
157,37.52081214,127.0283553
158,37.51360359,127.0320344
159,37.51348241,127.0318211
160,37.51829503,127.0268483
161,37.51787423,127.0528314
162,37.50941549,127.0584207
163,37.49066124,127.0856455
164,37.49043219,127.0848558
165,37.52117383,127.0300831
166,37.50629281,127.0660889
167,37.5061921,127.0657875
168,37.52452763,127.04811
169,37.48388676,127.0472309
170,37.48340446,127.0475854
171,37.49013404,127.0616707
172,37.51906873,127.0526662
173,37.51868289,127.0528004
174,37.52139404,127.0299671
175,37.52608164,127.041985
176,37.52348949,127.0390799
177,37.48954504,127.0587584
178,37.48972204,127.0595553
179,37.49009135,127.0614427
180,37.48610333,127.0451993
181,37.5264877,127.0435424
182,37.5187304,127.0251088
183,37.51828956,127.0240359
184,37.50816435,127.0551034
185,37.50831573,127.0555402
186,37.51375955,127.052711
187,37.48624521,127.0829062
188,37.50708736,127.0582163
189,37.50728455,127.058895
190,37.4835458,127.0795682
191,37.48322168,127.0778954
192,37.48349025,127.0788272
193,37.48355697,127.0792714
194,37.53127119,127.02467
195,37.48161975,127.0856924
196,37.51724318,127.045227
197,37.52491386,127.0395808
198,37.48110953,127.0835893
199,37.51941645,127.0569822
200,37.50576207,127.0645001
201,37.51648195,127.0455017
202,37.50580437,127.0581217
203,37.50058344,127.0529374
204,37.53111749,127.0244714
205,37.53128303,127.0245786
206,37.4982856,127.0609884
207,37.490198,127.0615951
208,37.52595217,127.0399316
209,37.49158985,127.0682866
210,37.49147386,127.0680516
211,37.52755637,127.0555741
212,37.49118382,127.0879161
213,37.4877866,127.0629043
214,37.48718997,127.0620842
215,37.48711302,127.0621293
216,37.49132925,127.10115
217,37.48841387,127.1058094
218,37.48911279,127.1044238
219,37.48933342,127.1051994
220,37.48944771,127.1052237
221,37.52755966,127.0382208
222,37.49044054,127.0635672
223,37.49086017,127.0660142
224,37.5069829,127.0589842
225,37.51717,127.0451725
226,37.48741405,127.0618609
227,37.48701301,127.061509
228,37.48721501,127.062185
229,37.4871696,127.0466958
230,37.48327359,127.0475984
231,37.494013,127.0806548
232,37.51426688,127.0612903
233,37.48967449,127.0556723
234,37.5147841,127.0624103
235,37.48870605,127.0537079
236,37.48885301,127.0537309
237,37.48953622,127.0556129
238,37.49957533,127.0636388
239,37.50602065,127.0587033
240,37.5256989,127.0399649
241,37.50306787,127.0659795
242,37.50535477,127.0656068
243,37.49673086,127.039055
244,37.50236633,127.0567763
245,37.50138162,127.0538493
246,37.48710061,127.0537366
247,37.49111803,127.0851086
248,37.5139724,127.033235
249,37.51453759,127.0351184
250,37.5112375,127.0646044
251,37.47890539,127.0483535
252,37.48342212,127.0783862
253,37.48194187,127.0549607
254,37.48851545,127.0642034
255,37.49339441,127.0613333
256,37.49203786,127.0323622
257,37.51291666,127.0208263
258,37.48095189,127.0810823
259,37.48106089,127.0818528
260,37.49561264,127.0327646
261,37.4893815,127.0583754
262,37.50629638,127.0659902
263,37.53010148,127.0236942
264,37.53130383,127.0247715
265,37.51203348,127.0314743
266,37.5024724,127.0587236
267,37.48982215,127.0598079
268,37.49351938,127.045223
269,37.49584477,127.0469259
270,37.48848965,127.053119
271,37.48815886,127.0530022
272,37.48936752,127.0560341
273,37.49176614,127.0682291
274,37.49196231,127.0688723
275,37.47740659,127.0486855
276,37.51999922,127.0229979
277,37.51829767,127.0355371
278,37.48150938,127.0842439
279,37.48280878,127.0838935
280,37.48493154,127.0565805
281,37.48508761,127.057728
282,37.48366009,127.0571477
283,37.48566663,127.0458233
284,37.48123895,127.0833498
285,37.49309023,127.042347
286,37.50687941,127.0523615
287,37.48237809,127.0555529
288,37.48183656,127.0548225
289,37.48355629,127.079232
290,37.50499212,127.0559654
291,37.4902363,127.0621179
292,37.49031548,127.0844435
293,37.49497979,127.0483338
294,37.50213207,127.0552684
295,37.52361737,127.0546625
296,37.51115988,127.0645042
297,37.51527879,127.0535063
298,37.48922069,127.1046672
299,37.48938842,127.1054166
300,37.49092541,127.0661612
301,37.49494653,127.0300943
302,37.52199205,127.0487538
303,37.51461427,127.0302259
304,37.51782376,127.0516774
305,37.50041847,127.0336503
306,37.50794471,127.0400787
307,37.52187481,127.0376092
308,37.52140113,127.0361923
309,37.52735828,127.0218528
310,37.49913749,127.0441468
311,37.51178167,127.0240882
312,37.51412247,127.0332507
313,37.52409908,127.0446192
314,37.50756333,127.0378475
315,37.51411654,127.0422466
316,37.48731773,127.0619112
317,37.49950053,127.0538005
318,37.50746194,127.0350203
319,37.48652928,127.0527292
320,37.48496592,127.0504424
321,37.48485232,127.0503463
322,37.49391473,127.0672363
323,37.49960045,127.0582953
324,37.48343006,127.0787224
325,37.53261957,127.0287467
326,37.52972906,127.032303
327,37.51407827,127.0583394
328,37.52346412,127.053969
329,37.48900134,127.0657
330,37.52961754,127.0323938
331,37.52933354,127.0297056
332,37.50810026,127.0359393
333,37.50604678,127.0407207
334,37.48763733,127.0519177
335,37.52634477,127.0331485
336,37.48663596,127.0829863
337,37.51255805,127.0509429
338,37.48436199,127.0943186
339,37.46654851,127.1200708
340,37.5068843,127.0590767
341,37.50576498,127.0664264
342,37.5299001,127.0294562
343,37.51878893,127.0347598
344,37.49127328,127.0824932
345,37.51532883,127.0591902
346,37.51686642,127.0592197
347,37.5269486,127.0401848
348,37.51879222,127.0512581
349,37.52089187,127.0483517
350,37.5212634,127.0299511
351,37.48345306,127.0474434
352,37.52652926,127.0207307
353,37.493864,127.0673308
354,37.50259871,127.060063
355,37.52343705,127.0311102
356,37.50928893,127.0331666
357,37.50850606,127.0335619
358,37.50258314,127.059151
359,37.48967701,127.0556093
360,37.49436584,127.0863145
361,37.50603739,127.0240904
362,37.48891449,127.0572502
363,37.48904252,127.057419
364,37.50042718,127.0267398
365,37.51219557,127.0318267
366,37.48429893,127.057068
367,37.48423356,127.0571679
368,37.48330938,127.0569502
369,37.50529963,127.056938
370,37.50805557,127.0549012
371,37.52454294,127.0395551
372,37.49081624,127.1037833
373,37.53178509,127.0258316
374,37.48135719,127.0841816
375,37.51546601,127.0535558
376,37.51319976,127.0612929
377,37.50903228,127.0647318
378,37.50847856,127.0404008
379,37.49304782,127.0776142
380,37.49093997,127.1035927
381,37.49669935,127.0753267
382,37.52415444,127.0487544
383,37.52205647,127.0555343
384,37.52344136,127.0430623
385,37.52376793,127.0456095
386,37.49668507,127.0322438
387,37.49674141,127.0321321
388,37.51336317,127.0312902
389,37.49452062,127.0350927
390,37.52499729,127.0237124
391,37.50732313,127.0234887
392,37.49035172,127.0632744
393,37.49478408,127.0294398
394,37.49513846,127.031005
395,37.49490327,127.0310572
396,37.49486023,127.0311381
397,37.49445723,127.0313269
398,37.4944888,127.0312622
399,37.48912601,127.0321433
400,37.48936484,127.0329378
401,37.48944471,127.0333046
402,37.50400437,127.0255877
403,37.50417389,127.0255137
404,37.50287912,127.0261005
405,37.48139447,127.084429
406,37.48139469,127.0841085
407,37.48143316,127.0842603
408,37.49406835,127.080819
409,37.49321335,127.0831753
410,37.48930855,127.0550742
411,37.53187743,127.0363599
412,37.50954762,127.036962
413,37.5094712,127.0368683
414,37.48253184,127.0588626
415,37.52292435,127.0432424
416,37.52292137,127.0436916
417,37.5230013,127.0438833
418,37.52304971,127.0447038
419,37.49638092,127.0549235
420,37.49666391,127.0548149
421,37.49793381,127.0385008
422,37.49626082,127.0549761
423,37.49587452,127.055191
424,37.49555207,127.0553433
425,37.49575005,127.0552453
426,37.48248028,127.0589241
427,37.502649,127.0462385
428,37.50695567,127.0271132
429,37.51653938,127.04171
430,37.51670699,127.0425825
431,37.49663087,127.0387022
432,37.50697332,127.0473329
433,37.51474666,127.0458179
434,37.51100728,127.0638616
435,37.4684562,127.1212719
436,37.49420687,127.0812584
437,37.50833399,127.0404343
438,37.51573784,127.0455372
439,37.49510148,127.039428
440,37.49447846,127.040089
441,37.49296551,127.0404256
442,37.49272259,127.033986
443,37.50197958,127.0433239
444,37.47925809,127.0506921
445,37.49752516,127.0543704
446,37.48771958,127.0513669
447,37.48736147,127.0520185
448,37.50104389,127.0300931
449,37.50057672,127.0336129
450,37.49410972,127.0709432
451,37.52342961,127.0475476
452,37.47882098,127.048206
453,37.49412455,127.0809945
454,37.50126872,127.0593675
455,37.48925969,127.1041818
456,37.5145472,127.0620711
457,37.48868479,127.0645361
458,37.48229914,127.0840129
459,37.4912641,127.082369
460,37.48450185,127.0835713
461,37.48377985,127.0836654
462,37.52751405,127.0332945
463,37.52137654,127.0301406
464,37.49021651,127.0617193
465,37.49337444,127.0541513
466,37.47890955,127.0478342
467,37.48545833,127.0909589
468,37.49467349,127.0781464
469,37.48948881,127.0585778
470,37.501037,127.0527184
471,37.50042473,127.0435203
472,37.50394377,127.0372048
473,37.50198428,127.0548777
474,37.50140741,127.0530472
475,37.50743955,127.063544
476,37.50342795,127.0600454
477,37.49091824,127.0865294
478,37.48336778,127.0779385
479,37.48145099,127.0845348
480,37.51448178,127.0331265
481,37.50681583,127.0639281
482,37.47722651,127.0488779
483,37.49505762,127.0534534
484,37.49068086,127.0643524
485,37.50519944,127.0566256
486,37.48790624,127.0629273
487,37.49175615,127.0684809
488,37.51576896,127.0427511
489,37.51543275,127.0428421
490,37.51590667,127.0427013
491,37.51623191,127.0425804
492,37.51657771,127.0424528
493,37.51636853,127.0425295
494,37.52795194,127.0365191
495,37.52484365,127.0250865
496,37.50622812,127.0593761
497,37.49212221,127.0845905
498,37.51433182,127.0607601
499,37.51434666,127.0618984
500,37.52504178,127.0527474
501,37.48507906,127.0582343
502,37.48689416,127.082589
503,37.48822208,127.0527182
504,37.48786924,127.0519394
505,37.49308136,127.0357518
506,37.49319029,127.0359669
507,37.52486476,127.0454652
508,37.51408497,127.0334575
509,37.53188269,127.0260228
510,37.49661179,127.0548832
511,37.49712621,127.0384751
512,37.51679121,127.0430468
513,37.51683982,127.0433266
514,37.52842277,127.0392178
515,37.51589328,127.0454857
516,37.49330666,127.0830075
517,37.48942115,127.0551347
518,37.48133338,127.0839977
519,37.51531289,127.0343892
520,37.47736981,127.0486592
521,37.49721224,127.0319077
522,37.51508823,127.0456724
523,37.49040028,127.0324062
524,37.4892897,127.0327932
525,37.48938333,127.0334427
526,37.51787879,127.0408017
527,37.52355996,127.0208973
528,37.49125806,127.1010594
529,37.51506752,127.0644246
